Seconds,0,1,2,3,4,5,6
750,1.024557912,1.024557912,1.024557912,1.024557912,1.085182641,1.085182641,1.085182641
765,1.019361507,1.019361507,1.019361507,1.019361507,1.079986236,1.079986236,1.079986236
780,1.003772291,1.003772291,1.003772291,1.003772291,1.081718371,1.081718371,1.081718371
795,0.995977683,0.995977683,0.995977683,0.995977683,1.099905789,1.099905789,1.099905789
810,1.000308021,1.000308021,1.000308021,1.000308021,1.104236127,1.104236127,1.104236127
825,1.010700832,1.010700832,1.010700832,1.010700832,1.114628938,1.114628938,1.114628938
840,1.039281061,1.039281061,1.039281061,1.039281061,1.143209167,1.143209167,1.143209167
855,1.051406007,1.051406007,1.051406007,1.051406007,1.155334113,1.155334113,1.155334113
870,1.058334547,1.058334547,1.058334547,1.058334547,1.162262653,1.162262653,1.162262653
885,1.055736344,1.055736344,1.055736344,1.055736344,1.15966445,1.15966445,1.15966445
900,1.060066682,1.060066682,1.060066682,1.060066682,1.146673437,1.146673437,1.146673437
915,1.061798817,1.061798817,1.061798817,1.061798817,1.148405572,1.148405572,1.148405572
930,1.06786129,1.06786129,1.06786129,1.06786129,1.14580737,1.14580737,1.14580737
945,1.086048709,1.086048709,1.086048709,1.086048709,1.129352086,1.129352086,1.129352086
960,1.099039722,1.099039722,1.099039722,1.099039722,1.090379046,1.090379046,1.090379046
975,1.10337006,1.10337006,1.10337006,1.10337006,1.086048709,1.086048709,1.086048709
990,1.086048709,1.086048709,1.086048709,1.086048709,1.068727358,1.068727358,1.068727358
1005,1.086048709,1.086048709,1.086048709,1.086048709,1.068727358,1.068727358,1.060066682
1020,1.083450506,1.083450506,1.083450506,1.083450506,1.066129155,1.066129155,1.057468479
1035,1.085182641,1.085182641,1.085182641,1.085182641,1.085182641,1.085182641,1.041879263
1050,1.116361073,1.116361073,1.116361073,1.116361073,1.099039722,1.099039722,1.047075669
1065,1.138878829,1.138878829,1.138878829,1.138878829,1.121557478,1.121557478,1.034950723
1080,1.166592991,1.166592991,1.166592991,1.166592991,1.14927164,1.14927164,1.045343534
1095,1.207298166,1.207298166,1.207298166,1.207298166,1.146673437,1.146673437,1.042745331
1110,1.226351652,1.226351652,1.226351652,1.226351652,1.165726923,1.165726923,1.035816791
1125,1.232414125,1.232414125,1.232414125,1.232414125,1.171789396,1.171789396,1.041879263
1140,1.228949854,1.228949854,1.228949854,1.228949854,1.185646477,1.185646477,1.055736344
1155,1.212494571,1.212494571,1.212494571,1.212494571,1.221155246,1.221155246,1.047941736
1170,1.205566031,1.205566031,1.205566031,1.205566031,1.260994354,1.260994354,1.044477466
1185,1.194307152,1.194307152,1.194307152,1.194307152,1.267056827,1.267056827,1.050539939
1200,1.190842882,1.190842882,1.190842882,1.190842882,1.263592556,1.263592556,1.047075669
1215,1.177851869,1.177851869,1.177851869,1.177851869,1.255797949,1.255797949,1.039281061
1230,1.165726923,1.165726923,1.165726923,1.165726923,1.257530084,1.257530084,1.041013196
1245,1.14927164,1.14927164,1.14927164,1.14927164,1.228949854,1.228949854,1.055736344
1260,1.134548491,1.134548491,1.134548491,1.134548491,1.225485584,1.225485584,1.052272074
1275,1.120691411,1.120691411,1.120691411,1.120691411,1.177851869,1.177851869,1.047941736
1290,1.10683433,1.10683433,1.10683433,1.10683433,1.165726923,1.165726923,1.035816791
1305,1.111164668,1.111164668,1.111164668,1.111164668,1.14927164,1.14927164,1.019361507
1320,1.079986236,1.079986236,1.079986236,1.079986236,1.134548491,1.134548491,1.004638359
1335,1.073923763,1.073923763,1.073923763,1.073923763,1.120691411,1.120691411,0.990781278
1350,1.066995222,1.066995222,1.066995222,1.066995222,1.10683433,1.10683433,0.976924197
1365,1.045343534,1.045343534,1.045343534,1.045343534,1.06786129,1.06786129,0.981254535
1380,1.062664885,1.062664885,1.062664885,1.062664885,1.036682858,1.036682858,0.950076103
1395,1.047941736,1.047941736,1.047941736,1.047941736,1.030620385,1.030620385,0.94401363
1410,1.015031169,1.015031169,1.015031169,1.015031169,1.006370494,1.006370494,0.919763739
1425,0.998575886,0.998575886,0.998575886,0.998575886,0.958736779,0.958736779,0.872130024
