id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh818027,Car,11.2,3.43,2,18,210,52,7
veh818163,Car,11.2,3.81,4,12,210,56,7
veh818208,Car,11.2,3.73,4,52,210,56,6
veh818383,Car,11.2,2.1,7,14,210,46,4
veh818425,Car,11.19,3.62,7,35,210,56,7
veh818632,Car,11.19,3.77,9,53,210,54,7
veh818675,Car,11.16,3.83,10,23,210,42,4
veh818713,Car,11.19,3.06,10,51,210,56,7
veh818747,Car,11.18,3.2,11,17,210,56,4
veh819288,Car,11.2,4.55,17,35,210,56,8
veh819311,Car,11.2,5.81,17,49,210,54,5
veh819321,Car,11.18,3.47,17,54,210,56,5
veh819452,Car,11.19,4.25,19,5,210,54,6
veh819517,Car,11.2,4.22,19,40,210,48,4
veh819562,Car,11.18,3.07,20,6,210,50,4
veh819592,Car,11.19,3.1,20,21,210,56,5
veh819643,Car,11.18,3.74,20,57,210,48,6
veh819671,Car,11.17,4.09,21,16,210,54,8
veh819676,Car,11.19,4.55,21,20,210,54,3
veh819799,Car,11.18,3.52,22,29,210,56,6
veh81983,Car,11.18,4.21,8,19,220,6,5
veh819854,Car,11.19,3.4,23,4,210,56,5
veh819890,Car,11.2,3.89,23,29,210,56,6
veh819896,Car,11.2,4.13,23,32,210,52,5
veh819980,Car,11.18,3.11,0,27,212,56,5
veh820021,Car,11.19,3.26,0,53,212,52,4
veh820105,Car,11.19,3.49,1,51,212,54,7
veh820131,Car,11.2,2.99,2,12,212,52,2
veh820146,Car,11.18,3.63,2,23,212,46,4
veh820180,Car,11.15,4.94,2,52,212,117,2
veh820269,Car,11.19,3.74,4,5,212,52,3
veh820286,Car,11.19,3.56,4,20,212,56,7
veh820353,Car,11.19,3.72,5,3,212,56,6
veh820419,Car,11.19,3.94,5,43,212,54,6
veh820435,Car,11.2,3.13,5,55,212,56,4
veh820521,Car,11.2,3.03,6,59,212,54,4
veh820529,Car,11.2,3.56,7,4,212,56,3
veh820630,Car,11.2,3.43,8,14,212,56,6
veh820644,Car,11.14,4.0,8,23,212,46,6
veh820650,Car,11.19,3.66,8,27,212,52,6
veh820805,Car,11.19,3.21,10,5,212,56,6
veh820806,Car,11.2,4.67,10,5,212,48,7
veh820860,Car,11.2,3.08,10,39,212,56,5
veh820883,Car,11.19,3.85,10,56,212,56,4
veh820970,Car,11.17,4.7,11,59,212,33,4
veh821024,Car,11.2,3.31,12,35,212,56,7
veh821086,Car,11.17,4.7,13,17,212,4,3
