id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh4409500,Bus,8.0,1.15,9,6,87,41,1
veh2905306,Bus,7.99,1.29,9,47,215,41,0
veh1688129,Bus,8.0,1.47,17,30,145,172,0
veh6092338,Bus,8.0,1.44,15,46,87,114,0
veh472711,Bus,8.0,1.27,15,47,215,41,0
veh5721698,Bus,8.0,1.28,22,11,29,186,1
veh2154531,Bus,7.99,1.38,20,32,27,201,0
veh4502890,Bus,7.99,1.45,21,46,87,114,0
veh5248413,Bus,8.0,1.45,21,46,87,114,0
veh5531616,Bus,7.99,1.4,18,51,29,56,0
veh1127980,Bus,8.0,1.7,21,54,144,117,0
veh4686799,Bus,8.0,1.5,12,15,4,178,0
veh1877179,Bus,8.0,1.69,6,52,174,201,0
veh1966495,Bus,8.0,1.4,14,51,29,56,0
veh188414,Bus,8.0,1.7,17,54,144,117,0
veh6560557,Bus,7.99,1.39,15,31,29,201,1
veh2249112,Bus,8.0,1.55,17,26,87,56,1
veh5721630,Bus,8.0,1.16,16,6,87,41,1
