id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh937690,Bus,8.0,1.41,19,30,145,172,0
veh1966491,Bus,7.99,1.23,13,45,207,33,0
veh5626475,Bus,8.0,1.71,6,2,86,33,1
veh2716063,Bus,7.99,1.17,6,6,87,41,1
veh2343523,Bus,8.0,1.55,17,4,144,41,1
veh4502809,Bus,8.0,1.39,14,31,29,201,1
veh188301,Bus,8.0,1.66,7,24,144,178,1
veh472790,Bus,8.0,1.33,22,12,202,175,0
veh1405301,Bus,8.0,1.55,19,4,144,41,1
veh282765,Bus,7.99,1.71,12,2,86,33,1
veh4030188,Bus,8.0,1.65,5,24,144,178,1
veh4686806,Bus,7.99,1.28,13,47,215,41,0
veh5531544,Bus,8.0,1.5,10,15,4,178,0
veh1783705,Bus,8.0,1.74,10,32,86,59,0
veh565705,Bus,7.98,1.21,5,2,230,56,0
veh1688082,Bus,8.0,1.74,12,32,86,59,0
veh376668,Bus,8.0,1.5,9,4,144,41,1
veh3279612,Bus,8.0,1.71,22,2,86,33,1
veh6092257,Bus,8.0,1.21,7,2,230,56,0
veh1499258,Bus,7.99,1.27,5,47,215,41,0
veh1594217,Bus,8.0,1.5,13,4,144,41,1
veh2154547,Bus,8.0,1.74,22,32,86,59,0
veh5158807,Bus,8.0,1.55,4,26,87,56,1
veh3935964,Bus,8.0,1.27,8,11,29,186,1
veh3189668,Bus,7.99,1.21,15,2,230,56,0
veh2999759,Bus,8.0,1.55,9,26,87,56,1
veh2532533,Bus,8.0,1.74,18,32,86,59,0
veh5531650,Bus,7.99,1.5,20,15,4,178,0
veh4969609,Bus,8.0,1.74,9,32,86,59,0
veh2343584,Bus,8.0,1.35,22,17,12,186,0
veh1499372,Bus,7.99,1.22,15,45,207,33,0
veh5065423,Bus,7.99,1.21,7,2,230,56,0
veh843981,Bus,8.0,1.22,15,2,230,56,0
veh5904170,Bus,7.99,1.22,5,45,207,33,0
veh6470419,Bus,7.99,1.74,12,32,86,59,0
veh282699,Bus,8.0,1.38,7,30,145,172,0
veh5721615,Bus,7.99,1.49,14,15,4,178,0
veh4969561,Bus,7.99,1.28,6,11,29,186,1
veh2905317,Bus,7.99,1.38,10,17,12,186,0
veh3563113,Bus,8.0,1.69,8,52,174,201,0
veh2060349,Bus,8.0,1.57,13,22,174,48,1
veh2999753,Bus,8.0,1.4,8,17,12,186,0
veh4969626,Bus,7.99,1.5,10,15,4,178,0
veh5904199,Bus,8.0,1.54,8,26,87,56,1
veh4218751,Bus,7.99,1.4,14,51,29,56,0
veh2154523,Bus,7.99,1.28,20,11,29,186,1
veh1499324,Bus,8.0,1.34,10,12,202,175,0
veh4124012,Bus,8.0,1.39,9,31,29,201,1
veh1405310,Bus,8.0,1.16,20,6,87,41,1
veh937721,Bus,8.0,1.39,22,31,29,201,1
veh4686800,Bus,7.99,1.34,12,32,27,201,0
veh5626659,Bus,8.0,1.33,22,12,202,175,0
veh3752832,Bus,8.0,1.28,17,47,215,41,0
veh2622247,Bus,8.0,1.47,11,30,145,172,0
veh3752775,Bus,7.99,1.29,12,11,29,186,1
veh3468262,Bus,8.0,1.27,20,11,29,186,1
veh3096150,Bus,8.0,1.7,11,54,144,117,0
veh655060,Bus,8.0,1.28,8,11,29,186,1
veh6281242,Bus,7.99,1.21,15,2,230,56,0
veh1221710,Bus,8.0,1.27,7,47,215,41,0
veh472688,Bus,8.0,1.66,13,24,144,178,1
veh472593,Bus,8.0,1.71,4,2,86,33,1
veh4313449,Bus,8.0,1.54,17,26,87,56,1
veh1127971,Bus,8.0,1.38,20,17,12,186,0
veh5248371,Bus,8.0,1.34,17,12,202,175,0
veh1032255,Bus,7.99,1.71,18,54,144,117,0
veh3468253,Bus,8.0,1.71,19,2,86,33,1
veh5065421,Bus,8.0,1.27,7,47,215,41,0
veh5815104,Bus,8.0,1.65,15,24,144,178,1
veh1594254,Bus,8.0,1.38,17,31,29,201,1
veh6470466,Bus,8.0,1.47,17,30,145,172,0
veh6560552,Bus,8.0,1.74,14,32,86,59,0
veh2154527,Bus,8.0,1.69,20,52,174,201,0
veh94293,Bus,8.0,1.33,17,12,202,175,0
veh5342443,Bus,8.0,1.28,19,47,215,41,0
veh843922,Bus,7.99,1.28,9,47,215,41,0
veh6377380,Bus,8.0,1.37,22,32,27,201,0
veh4875179,Bus,8.0,1.16,16,6,87,41,1
veh655116,Bus,8.0,1.74,12,32,86,59,0
veh3096098,Bus,8.0,1.33,7,12,202,175,0
veh6186861,Bus,7.98,1.21,17,2,230,56,0
veh5158933,Bus,8.0,1.55,16,26,87,56,1
veh1127836,Bus,8.0,1.7,8,54,144,117,0
veh4409638,Bus,8.0,1.28,21,47,215,41,0
veh3279553,Bus,8.0,1.55,17,22,174,48,1
veh1310961,Bus,7.99,1.28,18,11,29,186,1
veh5904312,Bus,8.0,1.69,18,52,174,201,0
veh3846316,Bus,8.0,1.28,15,47,215,41,0
veh3752852,Bus,8.0,1.4,19,30,145,172,0
veh3846379,Bus,7.99,1.38,21,31,29,201,1
veh1783701,Bus,8.0,1.16,10,6,87,41,1
veh1594275,Bus,8.0,1.66,18,24,144,178,1
veh94214,Bus,8.0,1.28,9,47,215,41,0
veh4030322,Bus,8.0,1.66,17,24,144,178,1
veh1499364,Bus,8.0,1.38,15,31,29,201,1
veh2622179,Bus,8.0,1.27,6,11,29,186,1
veh3279545,Bus,8.0,1.37,16,17,12,186,0
veh5437053,Bus,8.0,1.33,19,12,202,175,0
veh3468141,Bus,8.0,1.55,9,26,87,56,1
veh1877207,Bus,8.0,1.74,8,32,86,59,0
veh4030330,Bus,8.0,1.15,18,6,87,41,1
veh5158837,Bus,8.0,1.33,7,12,202,175,0
veh655073,Bus,7.99,1.39,8,17,12,186,0
veh1499264,Bus,7.99,1.55,6,26,87,56,1
veh5904209,Bus,7.99,1.38,8,17,12,186,0
veh376742,Bus,8.0,1.39,17,31,29,201,1
veh3563211,Bus,8.0,1.57,17,22,174,48,1
veh1877319,Bus,7.99,1.65,18,24,144,178,1
veh1032183,Bus,8.0,1.27,11,47,215,41,0
veh3656980,Bus,7.99,1.28,11,47,215,41,0
veh4218765,Bus,8.0,1.65,15,24,144,178,1
veh6186805,Bus,8.0,1.7,12,2,86,33,1
veh2343500,Bus,8.0,1.57,15,22,174,48,1
veh1405261,Bus,8.0,1.69,16,52,174,201,0
veh1783818,Bus,8.0,1.4,21,30,145,172,0
veh6470384,Bus,8.0,1.4,9,30,145,172,0
veh3279486,Bus,8.0,1.69,10,2,86,33,1
veh3563272,Bus,8.0,1.33,22,12,202,175,0
veh188461,Bus,8.0,1.62,21,24,144,178,1
veh3189587,Bus,8.0,1.71,8,2,86,33,1
veh94319,Bus,8.0,1.66,19,24,144,178,1
veh3846384,Bus,8.0,1.63,21,24,144,178,1
veh1877349,Bus,8.0,1.44,21,46,87,114,0
veh1877291,Bus,8.0,1.55,16,26,87,56,1
veh6186835,Bus,8.0,1.7,15,54,144,117,0
veh6470349,Bus,7.99,1.38,6,32,27,201,0
veh4313458,Bus,8.0,1.23,17,45,207,33,0
veh4781152,Bus,8.0,1.7,11,54,144,117,0
veh937594,Bus,8.0,1.4,10,51,29,56,0
veh1966391,Bus,7.99,1.62,4,26,87,56,1
veh5626587,Bus,8.0,1.69,16,52,174,201,0
veh2060441,Bus,8.0,1.5,21,4,144,41,1
veh1127941,Bus,8.0,1.69,18,52,174,201,0
veh4781210,Bus,8.0,1.62,17,24,144,178,1
veh3752810,Bus,7.98,1.23,15,45,207,33,0
veh2810692,Bus,8.0,1.44,9,46,87,114,0
veh4686905,Bus,8.0,1.74,22,32,86,59,0
veh5998580,Bus,8.0,1.69,10,52,174,201,0
veh4591871,Bus,8.0,1.71,7,2,86,33,1
veh1783820,Bus,8.0,1.55,21,4,144,41,1
veh6186816,Bus,8.0,1.22,13,45,207,33,0
veh1877307,Bus,8.0,1.33,17,12,202,175,0
veh472749,Bus,7.99,1.38,18,32,27,201,0
veh6186854,Bus,8.0,1.55,17,22,174,48,1
veh3936099,Bus,8.0,1.7,19,54,144,117,0
veh1310991,Bus,8.0,1.16,20,6,87,41,1
veh2060378,Bus,8.0,1.4,16,51,29,56,0
veh2716152,Bus,8.0,1.22,13,2,230,56,0
veh2154441,Bus,7.99,1.5,12,15,4,178,0
veh2060282,Bus,8.0,1.66,7,24,144,178,1
veh6560480,Bus,8.0,1.15,8,6,87,41,1
veh749606,Bus,7.99,1.4,22,51,29,56,0
veh2810793,Bus,8.0,1.7,18,54,144,117,0
veh2249106,Bus,8.0,1.74,16,32,86,59,0
veh2439504,Bus,7.99,1.15,8,6,87,41,1
veh5626643,Bus,8.0,1.39,21,31,29,201,1
veh4875151,Bus,8.0,1.65,13,24,144,178,1
veh376619,Bus,8.0,1.35,6,11,29,186,1
veh565749,Bus,8.0,1.55,9,26,87,56,1
veh2810643,Bus,8.0,1.57,5,22,174,48,1
veh5626580,Bus,7.98,1.27,15,47,215,41,0
veh5065524,Bus,8.0,1.15,17,6,87,41,1
veh4502839,Bus,8.0,1.39,17,31,29,201,1
veh4781263,Bus,8.0,1.27,22,11,29,186,1
veh4969621,Bus,8.0,1.69,10,52,174,201,0
veh2060366,Bus,7.99,1.35,15,11,29,186,1
veh2810802,Bus,8.0,1.55,19,22,174,48,1
veh4969733,Bus,8.0,1.38,20,32,27,201,0
veh6377274,Bus,8.0,1.55,13,4,144,41,1
veh1310975,Bus,8.0,1.16,19,6,87,41,1
veh6560457,Bus,8.0,1.55,6,26,87,56,1
veh2810750,Bus,8.0,1.35,15,11,29,186,1
veh5158905,Bus,8.0,1.7,13,54,144,117,0
veh655135,Bus,8.0,1.37,14,17,12,186,0
veh3563147,Bus,8.0,1.38,10,17,12,186,0
veh843988,Bus,8.0,1.74,16,32,86,59,0
veh2532548,Bus,8.0,1.55,19,4,144,41,1
veh5158924,Bus,8.0,1.55,15,4,144,41,1
veh472627,Bus,7.99,1.15,8,6,87,41,1
veh3563140,Bus,8.0,1.4,10,51,29,56,0
veh376669,Bus,7.99,1.66,9,24,144,178,1
veh2999763,Bus,8.0,1.71,9,2,86,33,1
veh6377323,Bus,8.0,1.22,17,2,230,56,0
veh5904279,Bus,8.0,1.55,15,4,144,41,1
veh937638,Bus,8.0,1.37,14,32,27,201,0
veh2439585,Bus,8.0,1.55,15,4,144,41,1
veh3656971,Bus,7.99,1.37,10,17,12,186,0
veh1877245,Bus,8.0,1.5,11,4,144,41,1
veh2532437,Bus,8.0,1.57,9,22,174,48,1
veh749435,Bus,8.0,1.66,7,22,174,48,1
veh4592004,Bus,8.0,1.38,18,32,27,201,0
veh565733,Bus,7.99,1.54,8,26,87,56,1
veh3279575,Bus,7.99,1.15,19,6,87,41,1
veh2343493,Bus,7.99,1.34,14,17,12,186,0
veh5342336,Bus,8.0,1.21,9,45,207,33,0
veh5159002,Bus,8.0,1.4,22,51,29,56,0
veh282725,Bus,7.99,1.38,8,32,27,201,0
veh1499453,Bus,8.0,1.38,22,32,27,201,0
veh1221737,Bus,7.99,1.74,9,32,86,59,0
veh376650,Bus,7.99,1.69,8,2,86,33,1
veh1405179,Bus,8.0,1.71,8,54,144,117,0
veh3846257,Bus,8.0,1.71,9,54,144,117,0
veh5998644,Bus,7.99,1.16,17,6,87,41,1
veh1594315,Bus,8.0,1.38,22,31,29,201,1
veh5065517,Bus,8.0,1.69,16,52,174,201,0
veh5065523,Bus,8.0,1.39,17,31,29,201,1
veh4502873,Bus,8.0,1.55,19,4,144,41,1
veh5815097,Bus,7.99,1.38,14,32,27,201,0
veh3374253,Bus,8.0,1.44,19,46,87,114,0
veh1594279,Bus,7.99,1.38,18,32,27,201,0
veh5436899,Bus,8.0,1.74,6,32,86,59,0
veh4218668,Bus,8.0,1.39,7,31,29,201,1
veh2532473,Bus,8.0,1.5,12,15,4,178,0
veh1032144,Bus,8.0,1.66,8,24,144,178,1
veh6092373,Bus,8.0,1.55,18,26,87,56,1
veh2622366,Bus,8.0,1.71,22,2,86,33,1
veh5436957,Bus,8.0,1.38,10,17,12,186,0
veh2716119,Bus,8.0,1.16,10,6,87,41,1
veh5904190,Bus,8.0,1.66,7,24,144,178,1
veh4875073,Bus,8.0,1.49,6,15,4,178,0
veh5626513,Bus,8.0,1.54,9,26,87,56,1
veh5998629,Bus,8.0,1.71,15,54,144,117,0
veh4592015,Bus,8.0,1.7,19,54,144,117,0
veh655032,Bus,8.0,1.65,5,24,144,178,1
veh5904331,Bus,8.0,1.71,19,54,144,117,0
veh6377346,Bus,8.0,1.65,19,24,144,178,1
veh2439579,Bus,8.0,1.38,14,32,27,201,0
veh6092250,Bus,8.0,1.74,7,32,86,59,0
veh5626551,Bus,7.99,1.37,12,17,12,186,0
veh4313408,Bus,8.0,1.4,13,30,145,172,0
veh5436882,Bus,8.0,1.16,4,6,87,41,1
veh1594181,Bus,8.0,1.65,9,24,144,178,1
veh2716235,Bus,8.0,1.44,21,46,87,114,0
veh1594302,Bus,8.0,1.49,20,15,4,178,0
veh2060265,Bus,8.0,1.4,6,51,29,56,0
veh2810718,Bus,8.0,1.51,11,4,144,41,1
veh6470336,Bus,7.98,1.27,5,47,215,41,0
veh5342421,Bus,8.0,1.55,18,26,87,56,1
veh2905383,Bus,8.0,1.66,17,24,144,178,1
veh5721640,Bus,8.0,1.55,17,26,87,56,1
veh6470512,Bus,8.0,1.39,21,31,29,201,1
veh1499280,Bus,8.0,1.7,7,54,144,117,0
veh3189743,Bus,8.0,1.69,22,2,86,33,1
veh4969604,Bus,8.0,1.54,9,26,87,56,1
veh5531506,Bus,8.0,1.55,8,26,87,56,1
veh5342466,Bus,8.0,1.39,22,31,29,201,1
veh1127987,Bus,8.0,1.69,22,52,174,201,0
veh4218793,Bus,8.0,1.28,18,11,29,186,1
veh5721525,Bus,8.0,1.38,6,32,27,201,0
veh5342452,Bus,8.0,1.34,20,17,12,186,0
veh282845,Bus,8.0,1.71,19,54,144,117,0
veh843869,Bus,7.99,1.35,6,11,29,186,1
veh1221702,Bus,8.0,1.4,7,30,145,172,0
veh2154357,Bus,8.0,1.22,5,45,207,33,0
veh1594148,Bus,8.0,1.55,7,4,144,41,1
veh4030294,Bus,8.0,1.35,15,11,29,186,1
veh4502796,Bus,7.99,1.74,12,32,86,59,0
veh2248996,Bus,8.0,1.48,6,15,4,178,0
veh5065479,Bus,8.0,1.69,12,2,86,33,1
veh4218828,Bus,7.99,1.5,20,15,4,178,0
veh1032161,Bus,8.0,1.7,9,54,144,117,0
veh5531634,Bus,8.0,1.71,19,2,86,33,1
veh749458,Bus,7.99,1.37,8,17,12,186,0
veh6092280,Bus,7.99,1.66,9,22,174,48,1
veh3096134,Bus,8.0,1.38,10,31,29,201,1
veh3936066,Bus,7.99,1.44,17,46,87,114,0
veh5158895,Bus,8.0,1.4,12,51,29,56,0
veh376759,Bus,8.0,1.7,18,52,174,201,0
veh5065503,Bus,8.0,1.38,15,31,29,201,1
veh6281161,Bus,8.0,1.71,8,2,86,33,1
veh4969564,Bus,8.0,1.54,6,26,87,56,1
veh4686725,Bus,7.99,1.38,6,17,12,186,0
veh4124054,Bus,7.99,1.37,12,32,27,201,0
veh2439514,Bus,8.0,1.33,8,12,202,175,0
veh1310945,Bus,8.0,1.38,16,17,12,186,0
veh3935973,Bus,8.0,1.5,8,4,144,41,1
veh282786,Bus,7.99,1.49,14,15,4,178,0
veh1594155,Bus,7.99,1.27,8,11,29,186,1
veh5904361,Bus,8.0,1.34,22,12,202,175,0
veh3279458,Bus,8.0,1.55,8,4,144,41,1
veh4124156,Bus,7.99,1.4,22,51,29,56,0
veh1877201,Bus,8.0,1.15,8,6,87,41,1
veh5904189,Bus,7.99,1.55,7,4,144,41,1
veh5626634,Bus,8.0,1.28,20,11,29,186,1
veh4030367,Bus,8.0,1.4,21,30,145,172,0
veh1221711,Bus,7.99,1.23,7,45,207,33,0
veh4409542,Bus,8.0,1.4,13,30,145,172,0
veh5248414,Bus,8.0,1.4,21,30,145,172,0
veh282713,Bus,8.0,1.55,8,26,87,56,1
veh6560631,Bus,8.0,1.55,21,4,144,41,1
veh5158831,Bus,8.0,1.57,7,22,174,48,1
