id,type,maxSpeed,averageSpeed,hour,minute,start_vertex_id,stop_vertex_id,turnsCount
veh2532559,Bus,8.0,1.69,20,52,174,201,0
veh4591918,Bus,8.0,1.74,10,32,86,59,0
veh4686816,Bus,8.0,1.38,14,17,12,186,0
veh472728,Bus,8.0,1.4,17,30,145,172,0
veh3189706,Bus,8.0,1.15,19,6,87,41,1
veh5158954,Bus,8.0,1.39,18,51,29,56,0
veh2810684,Bus,8.0,1.33,8,12,202,175,0
veh5158987,Bus,8.0,1.37,20,17,12,186,0
veh5998602,Bus,8.0,1.5,12,15,4,178,0
veh2622343,Bus,8.0,1.28,20,11,29,186,1
veh4591988,Bus,8.0,1.34,17,12,202,175,0
veh1877253,Bus,8.0,1.4,12,51,29,56,0
veh1405142,Bus,8.0,1.22,5,45,207,33,0
veh3096107,Bus,8.0,1.4,8,30,145,172,0
veh1127946,Bus,8.0,1.7,18,54,144,117,0
veh3096143,Bus,8.0,1.49,10,15,4,178,0
veh2532566,Bus,8.0,1.4,21,30,145,172,0
veh4969627,Bus,8.0,1.37,10,32,27,201,0
veh5065516,Bus,8.0,1.54,16,26,87,56,1
veh376662,Bus,8.0,1.55,9,26,87,56,1
veh6092275,Bus,7.99,1.38,9,31,29,201,1
veh3656902,Bus,8.0,1.57,5,22,174,48,1
veh3374266,Bus,8.0,1.4,20,51,29,56,0
veh3374218,Bus,8.0,1.69,16,52,174,201,0
veh5436914,Bus,8.0,1.28,7,47,215,41,0
veh94307,Bus,8.0,1.34,18,17,12,186,0
veh2716099,Bus,8.0,1.48,8,15,4,178,0
veh1877186,Bus,7.99,1.39,7,31,29,201,1
veh1032139,Bus,8.0,1.4,8,30,145,172,0
veh565779,Bus,7.98,1.28,11,47,215,41,0
veh5626571,Bus,8.0,1.38,14,32,27,201,0
veh3752743,Bus,7.99,1.44,9,46,87,114,0
veh4781216,Bus,8.0,1.28,18,11,29,186,1
veh2439590,Bus,7.99,1.21,15,2,230,56,0
veh3279437,Bus,8.0,1.44,7,46,87,114,0
veh3189638,Bus,7.99,1.48,12,15,4,178,0
veh6470328,Bus,8.0,1.16,4,6,87,41,1
veh4781170,Bus,8.0,1.22,13,45,207,33,0
veh1127847,Bus,8.0,1.57,9,22,174,48,1
veh94347,Bus,8.0,1.69,22,52,174,201,0
veh3374155,Bus,7.97,1.23,9,45,207,33,0
veh3189677,Bus,7.99,1.5,16,15,4,178,0
veh4124094,Bus,8.0,1.39,17,31,29,201,1
veh5904207,Bus,8.0,1.71,8,54,144,117,0
veh94284,Bus,8.0,1.39,17,31,29,201,1
veh3096086,Bus,8.0,1.39,6,17,12,186,0
veh1966463,Bus,8.0,1.74,10,32,86,59,0
veh2439531,Bus,8.0,1.28,9,47,215,41,0
veh5158871,Bus,7.99,1.22,9,45,207,33,0
veh5721613,Bus,8.0,1.74,14,32,86,59,0
veh5531507,Bus,8.0,1.44,8,46,87,114,0
veh5158888,Bus,8.0,1.65,11,24,144,178,1
veh1877294,Bus,8.0,1.74,16,32,86,59,0
veh6281121,Bus,8.0,1.69,4,52,174,201,0
veh2249104,Bus,8.0,1.69,16,52,174,201,0
veh4686796,Bus,8.0,1.71,12,2,86,33,1
veh2905375,Bus,7.99,1.38,16,32,27,201,0
veh3096103,Bus,8.0,1.4,8,51,29,56,0
veh565734,Bus,8.0,1.44,8,46,87,114,0
veh1877183,Bus,7.99,1.38,6,17,12,186,0
veh5437069,Bus,8.0,1.57,21,22,174,48,1
veh4218653,Bus,8.0,1.65,5,24,144,178,1
veh2716163,Bus,8.0,1.35,15,11,29,186,1
veh4218815,Bus,8.0,1.66,19,24,144,178,1
veh565885,Bus,8.0,1.7,21,54,144,117,0
veh2060314,Bus,8.0,1.66,9,24,144,178,1
veh1405320,Bus,8.0,1.57,21,22,174,48,1
veh1405329,Bus,8.0,1.4,22,51,29,56,0
veh6186842,Bus,8.0,1.55,16,26,87,56,1
veh2060407,Bus,8.0,1.55,18,4,144,41,1
veh843899,Bus,8.0,1.69,8,52,174,201,0
veh1221682,Bus,8.0,1.44,5,46,87,114,0
veh3752868,Bus,8.0,1.33,20,12,202,175,0
veh2343397,Bus,8.0,1.55,6,26,87,56,1
veh6470417,Bus,8.0,1.4,12,51,29,56,0
veh4875056,Bus,8.0,1.71,4,2,86,33,1
veh5437029,Bus,7.99,1.35,18,11,29,186,1
veh6560504,Bus,8.0,1.65,9,24,144,178,1
veh1221873,Bus,8.0,1.38,22,31,29,201,1
veh5342386,Bus,8.0,1.44,15,46,87,114,0
veh3279579,Bus,8.0,1.57,19,22,174,48,1
veh5248372,Bus,7.99,1.28,17,47,215,41,0
veh5437063,Bus,8.0,1.38,20,17,12,186,0
veh5342371,Bus,8.0,1.28,13,47,215,41,0
veh2905422,Bus,8.0,1.33,20,12,202,175,0
veh3846252,Bus,8.0,1.57,9,22,174,48,1
veh1499412,Bus,8.0,1.54,19,26,87,56,1
veh1310952,Bus,7.99,1.4,17,30,145,172,0
veh655103,Bus,7.99,1.44,11,46,87,114,0
veh4502808,Bus,8.0,1.28,14,11,29,186,1
veh2810737,Bus,8.0,1.28,13,47,215,41,0
veh1405243,Bus,8.0,1.34,14,17,12,186,0
veh1032188,Bus,8.0,1.4,12,51,29,56,0
veh3279531,Bus,8.0,1.66,15,22,174,48,1
veh3189664,Bus,8.0,1.66,15,24,144,178,1
veh749472,Bus,8.0,1.7,9,54,144,117,0
veh4875232,Bus,8.0,1.69,20,52,174,201,0
veh2154429,Bus,7.99,1.55,11,4,144,41,1
veh5342377,Bus,8.0,1.16,14,6,87,41,1
veh3563142,Bus,8.0,1.55,10,26,87,56,1
veh3752838,Bus,8.0,1.55,18,26,87,56,1
veh3936028,Bus,8.0,1.7,13,54,144,117,0
veh6281228,Bus,8.0,1.74,14,32,86,59,0
veh4875090,Bus,8.0,1.15,8,6,87,41,1
veh5626573,Bus,8.0,1.39,15,31,29,201,1
veh3752702,Bus,8.0,1.55,6,26,87,56,1
veh5342341,Bus,8.0,1.54,10,26,87,56,1
veh5626482,Bus,8.0,1.44,7,46,87,114,0
veh3189625,Bus,8.0,1.57,11,22,174,48,1
veh1499326,Bus,7.98,1.5,10,15,4,178,0
veh1966457,Bus,7.99,1.38,10,31,29,201,1
veh4781194,Bus,8.0,1.4,16,51,29,56,0
veh1688026,Bus,8.0,1.26,8,11,29,186,1
veh3189553,Bus,8.0,1.28,5,47,215,41,0
veh2905276,Bus,7.99,1.21,7,2,230,56,0
veh3374259,Bus,8.0,1.65,19,24,144,178,1
veh5904335,Bus,7.99,1.21,19,2,230,56,0
veh4409489,Bus,8.0,1.69,8,2,86,33,1
veh1966583,Bus,8.0,1.21,21,2,230,56,0
veh2905353,Bus,8.0,1.49,14,15,4,178,0
veh5065455,Bus,7.99,1.22,9,2,230,56,0
veh6470352,Bus,8.0,1.4,7,30,145,172,0
veh565872,Bus,8.0,1.16,20,6,87,41,1
veh94223,Bus,8.0,1.74,10,32,86,59,0
veh749561,Bus,8.0,1.69,18,52,174,201,0
veh843978,Bus,8.0,1.7,15,54,144,117,0
veh1594274,Bus,8.0,1.55,18,4,144,41,1
veh5531517,Bus,7.99,1.49,8,15,4,178,0
veh4502896,Bus,7.98,1.27,21,47,215,41,0
veh5531532,Bus,8.0,1.27,9,47,215,41,0
veh2060344,Bus,8.0,1.74,12,32,86,59,0
veh6092295,Bus,8.0,1.7,10,2,86,33,1
veh282738,Bus,8.0,1.33,9,12,202,175,0
veh843965,Bus,7.99,1.55,14,26,87,56,1
veh844030,Bus,8.0,1.28,19,47,215,41,0
veh749509,Bus,8.0,1.71,13,54,144,117,0
veh1499328,Bus,8.0,1.45,11,46,87,114,0
veh5904229,Bus,8.0,1.4,10,51,29,56,0
veh1594203,Bus,8.0,1.7,11,54,144,117,0
veh3189599,Bus,8.0,1.55,9,26,87,56,1
veh6377237,Bus,8.0,1.55,9,4,144,41,1
veh4313434,Bus,7.99,1.28,15,47,215,41,0
veh5815011,Bus,8.0,1.71,7,2,86,33,1
veh5815111,Bus,8.0,1.16,16,6,87,41,1
veh2716153,Bus,7.98,1.27,14,11,29,186,1
veh5248271,Bus,7.99,1.74,8,32,86,59,0
veh3846322,Bus,8.0,1.55,16,26,87,56,1
veh5531596,Bus,8.0,1.69,16,52,174,201,0
veh4591993,Bus,7.99,1.4,18,51,29,56,0
veh655157,Bus,8.0,1.49,16,15,4,178,0
veh1032123,Bus,8.0,1.4,7,30,145,172,0
veh5437056,Bus,7.98,1.21,19,2,230,56,0
veh3468191,Bus,7.99,1.38,14,31,29,201,1
veh4218703,Bus,8.0,1.66,9,22,174,48,1
veh5065546,Bus,8.0,1.38,18,17,12,186,0
veh2249096,Bus,8.0,1.7,15,54,144,117,0
veh3752694,Bus,8.0,1.66,5,22,174,48,1
veh3189550,Bus,7.99,1.47,5,30,145,172,0
veh5721606,Bus,7.99,1.21,13,2,230,56,0
veh2999720,Bus,7.99,1.7,6,52,174,201,0
veh3846375,Bus,8.0,1.33,20,12,202,175,0
veh1877192,Bus,8.0,1.55,7,4,144,41,1
veh6092348,Bus,8.0,1.4,16,51,29,56,0
veh1594218,Bus,8.0,1.65,13,24,144,178,1
veh4313329,Bus,8.0,1.71,6,2,86,33,1
veh1877340,Bus,8.0,1.4,20,51,29,56,0
veh282682,Bus,8.0,1.66,5,24,144,178,1
veh565732,Bus,8.0,1.15,8,6,87,41,1
veh1221696,Bus,8.0,1.33,6,12,202,175,0
veh5436920,Bus,8.0,1.55,8,26,87,56,1
veh6186808,Bus,8.0,1.5,12,15,4,178,0
veh1688132,Bus,8.0,1.65,17,24,144,178,1
