node_id,road_name,segment_start,segment_end,segment_length,direction,interval,year,month,day,day_of_week,hour,minute,lambda_car,lambda_bus
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,12,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,12,45,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,0,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,30,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,30,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,45,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,13,45,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,0,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,30,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,14,45,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,0,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,15,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,30,2.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,30,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,15,45,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,0,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,30,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,16,45,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,15,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,30,0.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,17,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,0,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,15,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,15,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,30,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,30,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,45,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,18,45,1.0,0.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,0,1.0,1.0
2,9_ave,34_st,14_st,98,south,15,2019,12,16,Monday,19,0,1.0,1.0
