date,time,edge,avg_speed,num_vehicles
1,419.00,9_39to9_38,5.25,2
1,419.00,9_47to9_46,10.0,1
1,419.00,9_54to9_53,19.36,3
1,419.00,8_30to7_30,10.0,1
1,419.00,9_34to9_33,7.0,5
1,419.00,9_50to8_50,0.6,5
1,419.00,8_45to8_46,10.0,1
1,419.00,9_44to8_44,4.1899999999999995,2
1,419.00,9_37to9_36,7.3999999999999995,3
1,419.00,8_50to8_51,10.0,3
1,419.00,9_57to9_56,7.0,3
1,419.00,8_58to7_58,0.0,21
1,419.00,Madison_48toPark_48,7.91,1
1,419.00,7_46to6_46,0.0,4
1,419.00,9_52to9_51,11.8325,4
1,419.00,9_40to9_39,0.0,2
1,419.00,8_54to8_55,10.0,2
1,419.00,9_54to8_54,0.0,3
1,419.00,7_54to6_54,0.0,2
1,419.00,9_36to9_35,5.0,2
1,419.00,7_42to6_42,0.0,1
1,419.00,9_56to8_56,2.0433333333333334,6
1,419.00,9_41to9_40,4.0,5
1,419.00,8_44to8_45,8.73,2
1,419.00,9_49to9_48,7.5,2
1,419.00,9_45to9_44,11.68,3
1,419.00,9_38to9_37,11.935,2
1,419.00,7_57to6_57,9.665,2
1,419.00,9_35to9_34,14.633333333333333,3
1,419.00,8_56to7_56,11.75,2
1,419.00,7_52to6_52,3.3333333333333335,3
1,419.00,8_49to8_50,10.0,1
1,419.00,Madison_42toPark_42,16.5,1
1,419.00,8_47to8_48,10.0,4
1,419.00,9_50to9_49,6.34,4
1,419.00,8_53to8_54,15.07,3
1,419.00,8_51to8_52,12.085,4
1,419.00,9_55to9_54,10.0,1
1,419.00,9_32to9_31,17.89,2
1,419.00,6_34to5_34,16.49,1
1,419.00,7_48to6_48,0.0,2
1,419.00,7_44to6_44,0.0,3
1,419.00,8_48to7_48,10.0,1
1,419.00,8_57to7_57,21.65,1
1,419.00,6_46to5_46,6.02,2
1,419.00,9_56to9_55,13.375,4
1,419.00,Madison_44toPark_44,10.0,1
1,419.00,9_48to9_47,10.0,2
1,419.00,8_57to8_58,0.0,7
1,419.00,8_54to7_54,10.0,1
1,419.00,Park_40toLexington_40,9.3,1
1,419.00,9_42to9_41,11.352857142857143,7
1,419.00,8_52to8_53,10.0,2
1,419.00,9_46to9_45,7.5,4
1,419.00,7_56to6_56,8.15,1
1,419.00,9_43to9_42,10.0,1
1,419.00,7_40to6_40,1.0,1
1,419.00,8_55to8_56,10.19,1
1,419.00,8_48to8_49,17.5,2
1,419.00,8_56to8_57,9.02,3
1,419.00,9_53to9_52,10.0,1
1,419.00,9_52to8_52,0.0,8
1,419.00,9_51to9_50,16.630000000000003,2
1,419.00,9_57to8_57,1.0,1
1,419.00,7_50to6_50,7.121666666666667,6
1,419.00,9_30to8_30,10.1475,4
1,419.00,8_46to8_47,14.106666666666667,3
1,419.00,6_32to5_32,10.0,1
1,42.00,8_31to8_32,10.0,1
1,42.00,8_36to8_37,25.0,1
1,42.00,8_33to8_34,24.38,1
1,42.00,9_31to9_30,10.0,1
1,42.00,9_32to8_32,5.343333333333334,6
1,42.00,8_32to8_33,10.175,2
1,42.00,7_30to6_30,25.0,1
1,42.00,8_30to7_30,24.48,1
1,42.00,8_30to8_31,7.71,2
1,42.00,9_32to9_31,5.5,2
1,42.00,9_30to8_30,7.0,6
1,420.00,8_30to7_30,10.0,1
1,420.00,9_36to9_35,7.766666666666667,3
1,420.00,9_43to9_42,10.0,1
1,420.00,Madison_42toPark_42,21.5,1
1,420.00,9_31to9_30,18.28,1
1,420.00,9_49to9_48,8.0,2
1,420.00,7_56to6_56,9.15,1
1,420.00,8_54to8_55,10.0,3
1,420.00,8_48to8_49,10.0,1
1,420.00,9_32to9_31,17.5,1
1,420.00,9_52to9_51,12.3325,4
1,420.00,9_40to9_39,2.5,2
1,420.00,7_48to6_48,0.0,2
1,420.00,9_48to9_47,10.0,2
1,420.00,Madison_36toPark_36,16.34,1
1,420.00,7_50to6_50,5.963333333333334,6
1,420.00,8_46to8_47,14.106666666666667,3
1,420.00,8_56to7_56,10.940000000000001,2
1,420.00,8_52to8_53,10.0,2
1,420.00,8_50to8_51,8.5,4
1,420.00,9_57to8_57,2.0,1
1,420.00,9_37to9_36,5.733333333333333,3
1,420.00,8_57to8_58,0.0,7
1,420.00,7_54to6_54,0.0,2
1,420.00,9_42to9_41,11.053333333333333,6
1,420.00,7_52to6_52,6.73,4
1,420.00,Madison_48toPark_48,4.91,1
1,420.00,9_38to9_37,11.353333333333333,3
1,420.00,8_44to8_45,11.73,2
1,420.00,9_50to9_49,6.295,4
1,420.00,Park_40toLexington_40,10.0,1
1,420.00,Madison_44toPark_44,10.0,1
1,420.00,9_56to9_55,15.24,4
1,420.00,9_46to9_45,6.666666666666667,3
1,420.00,8_53to8_54,15.046666666666667,3
1,420.00,9_50to8_50,1.2,5
1,420.00,9_56to8_56,1.6666666666666667,6
1,420.00,9_53to9_52,10.0,1
1,420.00,9_34to9_33,7.5,4
1,420.00,6_32to5_32,10.0,1
1,420.00,6_34to5_34,11.49,1
1,420.00,9_41to9_40,2.5,4
1,420.00,8_57to7_57,25.0,1
1,420.00,9_51to9_50,14.13,2
1,420.00,9_54to9_53,17.02,4
1,420.00,7_42to6_42,0.0,1
1,420.00,8_47to8_48,10.0,5
1,420.00,8_58to7_58,0.0,21
1,420.00,8_56to8_57,7.039999999999999,3
1,420.00,9_44to8_44,4.555,2
1,420.00,9_35to9_34,13.183333333333332,3
1,420.00,8_48to7_48,10.0,1
1,420.00,9_39to9_38,5.0,2
1,420.00,9_47to9_46,10.0,1
1,420.00,9_52to8_52,0.0,8
1,420.00,9_54to8_54,0.0,3
1,420.00,8_49to8_50,10.0,1
1,420.00,8_51to8_52,12.780000000000001,3
1,420.00,9_57to9_56,9.333333333333334,3
1,420.00,8_45to8_46,10.0,1
1,420.00,7_40to6_40,2.0,1
1,420.00,6_46to5_46,4.24,1
1,420.00,7_57to6_57,12.165,2
1,420.00,Park_50toLexington_50,15.0,1
1,420.00,9_30to8_30,11.863333333333335,3
1,420.00,9_45to9_44,9.243333333333332,3
1,420.00,8_54to7_54,10.0,1
1,420.00,9_55to9_54,17.5,2
1,420.00,7_46to6_46,0.0,4
1,420.00,7_44to6_44,0.0,3
1,421.00,8_58to7_58,0.0,21
1,421.00,9_57to9_56,11.660000000000002,3
1,421.00,7_46to6_46,0.0,4
1,421.00,8_45to8_46,10.0,1
1,421.00,8_47to8_48,10.0,4
1,421.00,9_48to9_47,10.0,1
1,421.00,8_49to8_50,16.91,2
1,421.00,9_52to8_52,0.0,8
1,421.00,8_30to7_30,10.0,2
1,421.00,9_52to9_51,10.3325,4
1,421.00,8_54to8_55,10.0,2
1,421.00,8_56to8_57,6.302499999999999,4
1,421.00,8_56to7_56,12.53,1
1,421.00,7_57to6_57,14.665,2
1,421.00,8_48to8_49,10.0,1
1,421.00,7_44to6_44,0.0,3
1,421.00,9_54to9_53,14.36,3
1,421.00,8_57to8_58,0.0,7
1,421.00,9_53to9_52,17.5,2
1,421.00,9_33to9_32,10.0,1
1,421.00,8_53to8_54,15.030000000000001,3
1,421.00,9_40to9_39,5.0,2
1,421.00,6_32to5_32,10.0,1
1,421.00,Madison_44toPark_44,10.0,1
1,421.00,9_37to9_36,4.066666666666666,3
1,421.00,9_46to9_45,6.666666666666667,3
1,421.00,8_54to7_54,10.0,1
1,421.00,9_38to9_37,11.353333333333333,3
1,421.00,Park_50toLexington_50,20.0,1
1,421.00,7_40to6_40,3.0,1
1,421.00,9_50to8_50,2.0,5
1,421.00,7_50to6_50,4.806666666666667,6
1,421.00,7_48to6_48,0.0,2
1,421.00,7_52to6_52,7.98,4
1,421.00,9_47to9_46,10.0,1
1,421.00,9_50to9_49,6.666666666666667,3
1,421.00,9_49to9_48,8.5,2
1,421.00,9_43to9_42,10.0,1
1,421.00,9_36to9_35,9.433333333333334,3
1,421.00,9_39to9_38,5.0,2
1,421.00,9_56to9_55,13.74,3
1,421.00,9_30to8_30,13.530000000000001,3
1,421.00,8_57to7_57,25.0,1
1,421.00,9_55to9_54,18.763333333333332,3
1,421.00,6_46to5_46,5.8,1
1,421.00,8_52to8_53,10.0,2
1,421.00,7_54to6_54,0.0,2
1,421.00,7_56to6_56,9.575,2
1,421.00,8_44to8_45,11.126666666666667,3
1,421.00,Madison_36toPark_36,21.34,1
1,421.00,Madison_42toPark_42,20.0,1
1,421.00,9_34to9_33,7.0,5
1,421.00,9_31to9_30,21.78,1
1,421.00,9_42to9_41,10.701666666666668,6
1,421.00,7_42to6_42,0.0,1
1,421.00,9_35to9_34,11.516666666666666,3
1,421.00,9_45to9_44,8.165,4
1,421.00,Park_40toLexington_40,10.0,1
1,421.00,8_50to8_51,8.75,4
1,421.00,8_51to8_52,12.780000000000001,3
1,421.00,6_34to5_34,6.49,1
1,421.00,9_44to8_44,4.734999999999999,2
1,421.00,9_51to9_50,10.0,1
1,421.00,9_41to9_40,6.25,4
1,421.00,9_32to9_31,22.5,1
1,421.00,9_54to8_54,0.0,3
1,421.00,9_57to8_57,3.0,1
1,421.00,8_48to7_48,10.0,1
1,421.00,8_46to8_47,14.106666666666667,3
1,421.00,9_56to8_56,1.964,5
1,422.00,9_36to9_35,9.25,3
1,422.00,9_31to9_30,21.78,1
1,422.00,5_46toMadison_46,7.8,1
1,422.00,8_56to7_56,10.38,1
1,422.00,9_49to9_48,9.696666666666667,3
1,422.00,7_54to6_54,0.0,2
1,422.00,9_52to8_52,0.0,8
1,422.00,7_42to6_42,0.0,1
1,422.00,9_34to9_33,7.0,5
1,422.00,8_53to8_54,13.765,4
1,422.00,9_54to8_54,0.0,3
1,422.00,9_52to9_51,7.666666666666667,3
1,422.00,Park_40toLexington_40,10.0,1
1,422.00,8_55to8_56,10.0,1
1,422.00,Park_50toLexington_50,25.0,1
1,422.00,8_51to8_52,8.815,2
1,422.00,8_48to8_49,10.0,2
1,422.00,9_50to9_49,9.565000000000001,4
1,422.00,7_48to6_48,0.0,2
1,422.00,9_48to9_47,10.0,1
1,422.00,9_40to9_39,6.666666666666667,3
1,422.00,9_51to9_50,15.0,3
1,422.00,9_54to9_53,16.54,2
1,422.00,7_50to6_50,5.0633333333333335,6
1,422.00,8_56to8_57,5.28,4
1,422.00,7_46to6_46,0.0,4
1,422.00,8_58to7_58,0.0,21
1,422.00,9_33to9_32,10.0,1
1,422.00,8_30to7_30,10.0,2
1,422.00,7_57to6_57,17.165,2
1,422.00,8_44to8_45,13.126666666666667,3
1,422.00,9_46to9_45,6.666666666666667,3
1,422.00,9_57to8_57,4.0,1
1,422.00,9_38to9_37,9.06,3
1,422.00,9_47to9_46,10.0,2
1,422.00,8_57to7_57,25.0,1
1,422.00,9_53to9_52,17.5,2
1,422.00,9_56to9_55,10.0,2
1,422.00,8_45to8_46,10.0,1
1,422.00,9_35to9_34,9.85,3
1,422.00,7_52to6_52,8.04,4
1,422.00,9_39to9_38,8.333333333333334,3
1,422.00,6_46to5_46,6.8,1
1,422.00,9_55to9_54,18.763333333333332,3
1,422.00,8_50to8_51,8.666666666666666,3
1,422.00,9_30to8_30,14.916666666666666,3
1,422.00,7_56to6_56,12.433333333333332,3
1,422.00,9_37to9_36,5.733333333333333,3
1,422.00,9_45to9_44,6.915,4
1,422.00,8_52to8_53,10.0,2
1,422.00,9_50to8_50,2.75,5
1,422.00,6_32to5_32,10.0,1
1,422.00,8_48to7_48,10.0,1
1,422.00,8_54to7_54,8.66,1
1,422.00,Madison_44toPark_44,9.34,1
1,422.00,9_43to9_42,10.0,1
1,422.00,Madison_36toPark_36,20.07,1
1,422.00,8_57to8_58,0.0,7
1,422.00,8_49to8_50,23.06,1
1,422.00,7_44to6_44,0.0,3
1,422.00,9_42to9_41,10.67,4
1,422.00,9_57to9_56,4.333333333333333,3
1,422.00,8_46to8_47,14.106666666666667,3
1,422.00,Madison_42toPark_42,15.0,1
1,422.00,8_47to8_48,10.0,3
1,422.00,9_56to8_56,1.564,5
1,422.00,8_54to8_55,10.0,2
1,422.00,9_44to8_44,4.825,2
1,422.00,9_41to9_40,5.375,4
1,423.00,8_53to8_54,9.553333333333333,3
1,423.00,9_52to9_51,9.666666666666666,3
1,423.00,7_57to6_57,17.5,2
1,423.00,8_30to7_30,10.0,2
1,423.00,Madison_44toPark_44,6.34,1
1,423.00,9_36to9_35,7.583333333333333,3
1,423.00,Park_48toLexington_48,7.91,1
1,423.00,8_54to8_55,15.0,3
1,423.00,7_44to6_44,0.0,3
1,423.00,Madison_36toPark_36,15.07,1
1,423.00,9_42to9_41,14.049999999999999,3
1,423.00,8_48to8_49,10.0,3
1,423.00,9_37to9_36,4.066666666666666,3
1,423.00,9_49to9_48,11.696666666666667,3
1,423.00,7_54to6_54,0.0,2
1,423.00,8_48to7_48,10.0,1
1,423.00,9_38to9_37,5.726666666666667,3
1,423.00,8_57to7_57,20.58,1
1,423.00,8_50to7_50,5.82,1
1,423.00,8_52to8_53,12.780000000000001,3
1,423.00,9_50to8_50,2.6,5
1,423.00,8_50to8_51,9.0,3
1,423.00,9_35to9_34,8.183333333333334,3
1,423.00,9_57to9_56,4.833333333333333,3
1,423.00,9_43to9_42,10.0,1
1,423.00,7_48to6_48,0.0,2
1,423.00,7_42to6_42,0.0,1
1,423.00,Park_40toLexington_40,10.0,1
1,423.00,9_41to9_40,6.4,5
1,423.00,8_54to7_54,5.66,1
1,423.00,9_53to9_52,15.0,3
1,423.00,9_55to9_54,17.513333333333332,3
1,423.00,7_50to6_50,3.9,6
1,423.00,8_46to8_47,10.0,1
1,423.00,8_56to7_56,5.38,1
1,423.00,7_56to6_56,13.449999999999998,3
1,423.00,9_54to9_53,10.0,1
1,423.00,8_44to8_45,8.46,2
1,423.00,Madison_42toPark_42,10.0,1
1,423.00,9_54to8_54,0.0,3
1,423.00,9_30to8_30,14.916666666666666,3
1,423.00,8_56to8_57,5.01,4
1,423.00,9_51to9_50,15.0,3
1,423.00,8_51to8_52,10.0,2
1,423.00,9_46to9_45,5.0,3
1,423.00,9_47to9_46,10.0,2
1,423.00,7_52to6_52,7.415,4
1,423.00,8_57to8_58,0.0,7
1,423.00,8_49to8_50,19.81,1
1,423.00,9_45to9_44,5.665,4
