date,time,edge,avg_speed,num_vehicles
1,761.00,Madison_42toPark_42,25.0,1
1,761.00,8_37to8_38,10.0,1
1,761.00,9_32to9_31,10.0,1
1,761.00,Park_31toPark_32,9.855,2
1,761.00,Madison_37toMadison_38,10.0,1
1,761.00,7_57to8_57,0.9484999999999999,20
1,761.00,5_30toMadison_30,10.0,1
1,761.00,9_45to9_44,0.0,5
1,761.00,Park_57toMadison_57,3.8774999999999995,4
1,761.00,5_42toMadison_42,8.97,1
1,761.00,Madison_40toMadison_41,10.0,1
1,761.00,7_54to6_54,0.0,2
1,761.00,7_30to6_30,12.035,2
1,761.00,Madison_45toMadison_46,22.67,1
1,761.00,Lexington_33toPark_33,4.083333333333333,3
1,761.00,8_55to8_56,1.95,10
1,761.00,6_36to6_37,10.0,3
1,761.00,8_34to7_34,6.49,1
1,761.00,9_43to9_42,0.0,3
1,761.00,9_42to9_41,0.0,3
1,761.00,Lexington_33toLexington_34,24.66,1
1,761.00,9_33to9_32,10.0,1
1,761.00,7_41to7_40,10.0,1
1,761.00,Madison_57to5_57,0.0,11
1,761.00,Lexington_35toLexington_36,25.0,1
1,761.00,8_57to8_58,0.0,11
1,761.00,8_33to8_34,7.621428571428572,7
1,761.00,5_49to5_48,10.0,2
1,761.00,9_39to9_38,2.5,4
1,761.00,9_38to9_37,1.816,5
1,761.00,Madison_44toMadison_45,25.0,1
1,761.00,9_44to9_43,2.0,3
1,761.00,Park_30toPark_31,7.220000000000001,4
1,761.00,9_58to8_58,0.0,3
1,761.00,9_34to9_33,3.7899999999999996,6
1,761.00,8_56to7_56,10.0,1
1,761.00,Madison_38toPark_38,6.11,1
1,761.00,9_49to9_48,15.83,1
1,761.00,9_41to9_40,2.5,2
1,761.00,Park_34toPark_35,23.51,1
1,761.00,Lexington_31toLexington_32,11.666666666666666,3
1,761.00,Park_57toPark_56,10.0,1
1,761.00,6_31to7_31,9.353333333333333,6
1,761.00,7_32to6_32,0.0,1
1,761.00,8_58to7_58,0.0,22
1,761.00,9_57to9_56,0.0,1
1,761.00,Madison_35toMadison_36,10.0,1
1,761.00,Park_54toLexington_54,10.0,1
1,761.00,7_39to7_38,10.0,1
1,761.00,8_54to8_55,0.0,13
1,761.00,9_47to9_46,13.11,2
1,761.00,5_47to5_46,10.0,2
1,761.00,6_52to5_52,0.0,1
1,761.00,6_35to6_36,14.37,2
1,761.00,5_53to5_52,16.11,1
1,761.00,9_35to9_34,1.64625,8
1,761.00,9_56to8_56,0.0,1
1,761.00,Madison_31to5_31,0.2423529411764706,17
1,761.00,Park_31toMadison_31,5.25,5
1,761.00,8_56to8_57,3.52625,8
1,761.00,9_36to9_35,1.67,3
1,761.00,Park_58toPark_57,7.0,3
1,761.00,7_32to7_31,0.0,1
1,761.00,Madison_42toMadison_43,23.96,1
1,761.00,8_35to8_36,9.2525,8
1,761.00,7_58to7_57,0.0,1
1,761.00,Lexington_32toLexington_33,10.0,1
1,761.00,Park_34toLexington_34,10.0,1
1,761.00,Madison_38toMadison_39,10.0,1
1,761.00,Lexington_31toPark_31,0.0,8
1,761.00,6_30to5_30,10.0,1
1,761.00,6_57to7_57,2.441111111111111,9
1,761.00,Madison_30toMadison_31,0.0,6
1,761.00,6_37to6_38,7.5,4
1,761.00,Madison_36toMadison_37,10.0,1
1,761.00,5_36toMadison_36,0.0,1
1,761.00,9_51to9_50,0.0,2
1,761.00,9_55to9_54,0.0,1
1,761.00,9_50to9_49,0.0,2
1,761.00,8_36to8_37,10.062857142857142,7
1,761.00,Madison_40toPark_40,5.0,1
1,761.00,7_46to7_45,15.0,1
1,761.00,5_48to5_47,10.0,1
1,761.00,9_46to9_45,0.0,2
1,761.00,5_50to5_49,10.0,1
1,761.00,9_40to9_39,3.9,5
1,761.00,8_32to8_33,2.5,2
1,761.00,9_48to9_47,1.5,2
1,761.00,9_37to9_36,0.0,4
1,761.00,9_53to9_52,5.0,1
1,761.00,7_40to7_39,10.0,1
1,761.00,8_34to8_35,11.69,11
1,762.00,Park_57toMadison_57,2.305,4
1,762.00,Park_57toPark_56,10.0,1
1,762.00,9_45to9_44,0.0,5
1,762.00,Madison_38toMadison_39,10.0,1
1,762.00,5_52to5_51,21.11,1
1,762.00,Lexington_32toLexington_33,17.5,2
1,762.00,7_41to7_40,10.0,1
1,762.00,7_40to7_39,10.0,1
1,762.00,9_36to9_35,0.45999999999999996,3
1,762.00,8_32to8_33,1.5,2
1,762.00,8_36to8_37,9.75,6
1,762.00,6_31to7_31,7.823333333333333,6
1,762.00,6_35to6_36,11.870000000000001,2
1,762.00,5_42toMadison_42,9.97,1
1,762.00,9_32to9_31,10.0,1
1,762.00,8_33to8_34,6.765714285714286,7
1,762.00,8_54to8_55,0.0,13
1,762.00,5_47to5_46,10.0,1
1,762.00,9_49to9_48,10.83,1
1,762.00,9_34to9_33,3.7899999999999996,6
1,762.00,5_49to5_48,10.0,2
1,762.00,Lexington_31toLexington_32,4.333333333333333,3
1,762.00,9_43to9_42,0.0,3
1,762.00,Park_34toPark_35,23.51,1
1,762.00,9_58to8_58,0.0,3
1,762.00,Park_31toPark_32,9.93,2
1,762.00,5_48to5_47,10.0,1
1,762.00,7_32to7_31,0.0,1
1,762.00,5_36toMadison_36,0.0,1
1,762.00,Madison_45toMadison_46,23.835,2
1,762.00,9_47to9_46,9.545,2
1,762.00,8_56to7_56,10.0,1
1,762.00,9_52to9_51,10.0,1
1,762.00,8_56to8_57,3.15125,8
1,762.00,9_48to9_47,2.5,2
1,762.00,9_51to9_50,5.0,1
1,762.00,8_58to7_58,0.0,22
1,762.00,Madison_35toMadison_36,10.0,1
1,762.00,Madison_42toPark_42,21.58,1
1,762.00,9_37to9_36,0.0,4
1,762.00,Park_58toPark_57,9.333333333333334,3
1,762.00,9_55to9_54,0.0,1
1,762.00,9_57to9_56,0.0,1
1,762.00,7_39to7_38,10.0,1
1,762.00,Madison_40toMadison_41,10.0,1
1,762.00,7_32to6_32,0.0,1
1,762.00,Madison_57to5_57,0.0,11
1,762.00,7_30to6_30,11.355,2
1,762.00,9_33to9_32,10.0,1
1,762.00,7_46to7_45,20.0,1
1,762.00,6_37to6_38,8.0,5
1,762.00,8_37to8_38,10.0,1
1,762.00,6_36to6_37,10.0,2
1,762.00,5_30toMadison_30,10.0,1
1,762.00,Madison_31to5_31,0.06588235294117648,17
1,762.00,9_53to9_52,0.5,1
1,762.00,8_35to8_36,9.285714285714286,7
1,762.00,9_46to9_45,0.0,2
1,762.00,Lexington_33toLexington_34,17.33,2
1,762.00,6_30to5_30,10.0,1
1,762.00,9_35to9_34,2.5625,8
1,762.00,8_57to8_58,0.0,11
1,762.00,9_42to9_41,0.0,3
1,762.00,7_54to6_54,0.0,2
1,762.00,7_58to7_57,0.0,1
1,762.00,7_57to8_57,0.851,20
1,762.00,9_38to9_37,1.216,5
1,762.00,Park_30toPark_31,4.833333333333333,3
1,762.00,Lexington_35toLexington_36,25.0,1
1,762.00,9_41to9_40,2.75,2
1,762.00,Park_34toLexington_34,10.0,1
1,762.00,9_39to9_38,2.5,4
1,762.00,6_52to5_52,0.0,1
1,762.00,Madison_30toMadison_31,0.0,6
1,762.00,9_50to9_49,0.0,2
1,762.00,8_55to8_56,2.875,10
1,762.00,Madison_37toMadison_38,10.0,2
1,762.00,Madison_42toMadison_43,23.96,1
1,762.00,8_34to8_35,11.568888888888889,9
1,762.00,Madison_40toPark_40,6.0,1
1,762.00,Park_31toMadison_31,4.226000000000001,5
1,762.00,Lexington_33toPark_33,4.7825,4
1,762.00,9_44to9_43,0.0,2
1,762.00,9_40to9_39,4.2,5
1,762.00,Lexington_31toPark_31,0.0,8
1,762.00,5_50to5_49,10.0,1
1,762.00,Madison_36toMadison_37,10.0,1
1,762.00,6_57to7_57,3.3939999999999997,10
1,763.00,9_38to9_37,0.616,5
1,763.00,Madison_36toMadison_37,10.0,1
1,763.00,9_35to9_34,0.7857142857142857,7
1,763.00,Madison_35toMadison_36,10.0,1
1,763.00,Lexington_31toLexington_32,4.833333333333333,3
1,763.00,9_32to9_31,10.0,1
1,763.00,8_58to7_58,0.0,22
1,763.00,8_36to8_37,10.114285714285714,7
1,763.00,9_51to9_50,0.5,1
1,763.00,9_52to9_51,15.0,1
1,763.00,5_47to5_46,10.0,1
1,763.00,5_30toMadison_30,10.0,1
1,763.00,8_56to7_56,10.0,1
1,763.00,8_33to8_34,7.291428571428571,7
1,763.00,8_34to8_35,11.731250000000001,8
1,763.00,5_52to5_51,23.2,1
1,763.00,Madison_30toMadison_31,0.0,6
1,763.00,9_47to9_46,10.9,2
1,763.00,9_37to9_36,0.0,4
1,763.00,5_46to5_45,10.0,1
1,763.00,Madison_40toPark_40,7.0,1
1,763.00,7_58to7_57,0.0,1
1,763.00,8_35to8_36,9.333333333333334,6
1,763.00,7_46to7_45,19.5,1
1,763.00,Lexington_33toPark_33,5.765000000000001,4
1,763.00,Madison_57to5_57,0.0,11
1,763.00,9_46to9_45,0.0,2
1,763.00,Madison_48toPark_48,6.2,1
1,763.00,Park_58toPark_57,9.906666666666666,3
1,763.00,Lexington_31toPark_31,0.0,8
1,763.00,6_57to7_57,3.2900000000000005,10
1,763.00,8_54to8_55,0.15384615384615385,13
1,763.00,Park_30toPark_31,6.333333333333333,3
1,763.00,Park_57toPark_56,10.0,1
1,763.00,9_34to9_33,3.3333333333333335,6
1,763.00,Lexington_32toLexington_33,17.5,2
1,763.00,8_55to8_56,3.55,10
1,763.00,6_52to5_52,0.0,1
1,763.00,9_48to9_47,3.5,2
1,763.00,Park_34toPark_35,23.51,1
1,763.00,9_58to8_58,0.0,3
1,763.00,7_32to7_31,0.0,1
1,763.00,Madison_31to5_31,0.0,17
1,763.00,8_32to8_33,0.0,1
1,763.00,9_43to9_42,2.0,4
1,763.00,Madison_40toMadison_41,10.0,1
1,763.00,5_50to5_49,10.0,1
1,763.00,5_48to5_47,10.0,1
1,763.00,6_31to7_31,8.031666666666666,6
1,763.00,9_50to9_49,3.3333333333333335,3
1,763.00,Madison_43toMadison_44,23.96,1
1,763.00,8_56to8_57,3.271,10
1,763.00,8_57to8_58,0.0,11
1,763.00,Park_31toMadison_31,2.896,5
1,763.00,6_30to5_30,10.0,1
1,763.00,7_41to7_40,10.0,1
1,763.00,7_54to6_54,0.5,2
1,763.00,9_57to9_56,0.0,1
1,763.00,Lexington_35toLexington_36,25.0,1
1,763.00,Park_31toPark_32,9.965,2
1,763.00,8_36to7_36,6.25,1
1,763.00,9_36to9_35,0.0,3
