date,time,edge,avg_speed,num_vehicles
1,334.00,7_38to6_38,0.0,1
1,334.00,7_50to6_50,16.49,1
1,334.00,8_47to8_48,17.435,4
1,334.00,9_37to9_36,5.0,2
1,334.00,9_46to8_46,0.0,4
1,334.00,8_46to8_47,10.0,1
1,334.00,9_39to9_38,5.0,2
1,334.00,8_49to8_50,10.0,2
1,334.00,8_40to8_41,10.0,1
1,334.00,9_44to8_44,1.5833333333333333,9
1,334.00,9_52to8_52,5.905,6
1,334.00,8_42to8_43,17.5,2
1,334.00,8_51to8_52,10.0,2
1,334.00,8_42to7_42,16.22,1
1,334.00,7_48to6_48,0.62,2
1,334.00,8_46to7_46,5.17,1
1,334.00,8_40to7_40,10.0,1
1,334.00,7_40to6_40,3.0,2
1,334.00,9_38to9_37,13.566666666666668,3
1,334.00,8_57to7_57,11.48,1
1,334.00,8_55to8_56,10.38,3
1,334.00,8_50to7_50,15.66,1
1,334.00,9_40to9_39,10.0,3
1,334.00,8_38to8_39,10.0,1
1,334.00,9_51to9_50,17.5,2
1,334.00,8_45to8_46,10.0,1
1,334.00,8_39to8_40,15.0,3
1,334.00,9_34to9_33,5.0,2
1,334.00,9_50to8_50,0.0,9
1,334.00,7_42to6_42,0.0,2
1,334.00,7_54to6_54,17.9,1
1,334.00,8_52to8_53,10.0,2
1,334.00,8_53to8_54,10.0,1
1,334.00,5_42toMadison_42,16.5,1
1,334.00,8_41to8_42,25.0,1
1,334.00,8_43to8_44,10.8625,4
1,334.00,9_44to9_43,15.77,5
1,334.00,9_50to9_49,10.0,1
1,334.00,9_45to9_44,14.549999999999999,3
1,334.00,Park_36toLexington_36,10.0,1
1,334.00,8_54to7_54,9.780000000000001,2
1,334.00,9_43to9_42,14.52,4
1,334.00,9_48to8_48,0.8,4
1,334.00,9_42to8_42,0.0,6
1,334.00,Madison_30toPark_30,10.0,1
1,334.00,8_30to7_30,13.412,5
1,334.00,9_40to8_40,0.0,4
1,334.00,9_48to9_47,15.316666666666668,3
1,334.00,8_48to8_49,14.128,5
1,334.00,8_54to8_55,10.0,1
1,334.00,8_44to8_45,9.0,2
1,334.00,7_36to6_36,1.0,1
1,334.00,9_42to9_41,13.6,2
1,334.00,9_46to9_45,12.0,3
1,334.00,9_54to9_53,5.0,1
1,334.00,9_47to9_46,10.0,1
1,334.00,7_44to6_44,10.0,1
1,334.00,8_44to7_44,7.46,1
1,334.00,8_56to8_57,10.0,1
1,334.00,7_46to6_46,3.5625,4
1,334.00,9_35to9_34,0.0,1
1,334.00,9_36to9_35,8.0,1
1,334.00,9_49to9_48,17.27,2
1,334.00,9_52to9_51,6.333333333333333,3
1,334.00,8_50to8_51,11.089999999999998,3
1,334.00,8_58to7_58,3.38875,16
1,335.00,8_30to7_30,13.212,5
1,335.00,8_52to8_53,10.0,1
1,335.00,8_49to8_50,10.0,2
1,335.00,9_48to8_48,0.025,4
1,335.00,9_36to9_35,9.5,2
1,335.00,9_47to9_46,17.259999999999998,2
1,335.00,7_50to6_50,21.49,1
1,335.00,5_42toMadison_42,11.5,1
1,335.00,7_42to6_42,0.0,2
1,335.00,9_40to9_39,5.0,2
1,335.00,8_51to8_52,10.0,3
1,335.00,6_44to5_44,6.0,1
1,335.00,7_54to6_54,22.9,1
1,335.00,9_42to8_42,0.0,6
1,335.00,8_57to7_57,6.48,1
1,335.00,9_45to9_44,17.1625,4
1,335.00,9_44to9_43,16.830000000000002,3
1,335.00,9_51to9_50,17.5,2
1,335.00,8_42to8_43,17.5,2
1,335.00,7_46to6_46,3.0625,4
1,335.00,8_55to8_56,10.253333333333332,3
1,335.00,8_41to8_42,17.5,2
1,335.00,9_43to9_42,16.026666666666667,3
1,335.00,9_38to9_37,10.233333333333333,3
1,335.00,Park_36toLexington_36,10.0,1
1,335.00,7_36to6_36,2.0,1
1,335.00,9_34to9_33,5.0,2
1,335.00,8_50to8_51,10.545,4
1,335.00,8_47to8_48,15.0,3
1,335.00,7_38to6_38,0.0,1
1,335.00,8_53to8_54,10.0,1
1,335.00,7_48to6_48,0.0,2
1,335.00,9_48to9_47,16.983333333333334,3
1,335.00,9_52to9_51,5.0,3
1,335.00,8_54to8_55,10.0,1
1,335.00,7_40to6_40,4.0,1
1,335.00,8_46to7_46,6.17,1
1,335.00,8_44to8_45,9.5,2
1,335.00,8_43to8_44,10.503333333333332,3
1,335.00,8_44to7_44,8.46,1
1,335.00,8_46to8_47,10.0,2
1,335.00,8_50to7_50,20.66,1
1,335.00,8_42to7_42,11.22,1
1,335.00,8_48to8_49,15.885,6
1,335.00,9_40to8_40,0.0,4
1,335.00,7_44to6_44,10.0,1
1,335.00,9_54to9_53,5.0,2
1,335.00,8_39to8_40,10.0,2
1,335.00,8_40to8_41,17.5,2
1,335.00,8_45to8_46,10.0,1
1,335.00,9_39to9_38,8.75,4
1,335.00,9_49to9_48,14.846666666666666,3
1,335.00,9_50to8_50,0.0,9
1,335.00,Madison_30toPark_30,10.0,1
1,335.00,8_40to7_40,10.0,1
1,335.00,9_46to8_46,0.0,4
1,335.00,8_54to7_54,7.279999999999999,2
1,335.00,9_41to9_40,10.0,1
1,335.00,9_52to8_52,6.678333333333334,6
1,335.00,8_38to8_39,10.0,1
1,335.00,9_35to9_34,0.0,1
1,335.00,9_37to9_36,6.666666666666667,3
1,335.00,9_44to8_44,1.5422222222222222,9
1,335.00,8_58to7_58,3.1937499999999996,16
1,335.00,9_42to9_41,16.1,2
1,335.00,9_50to9_49,10.0,1
1,335.00,9_46to9_45,6.0,2
1,336.00,9_38to9_37,10.233333333333333,3
1,336.00,7_48to6_48,0.0,2
1,336.00,9_44to9_43,15.51,2
1,336.00,8_48to8_49,15.16,5
1,336.00,8_42to8_43,10.0,2
1,336.00,9_40to9_39,5.0,2
1,336.00,Madison_30toPark_30,10.0,1
1,336.00,7_36to6_36,3.0,1
1,336.00,9_37to9_36,6.666666666666667,3
1,336.00,9_47to9_46,19.736666666666665,3
1,336.00,9_52to8_52,6.152857142857143,7
1,336.00,8_30to7_30,13.49,4
1,336.00,8_44to7_44,9.46,1
1,336.00,8_45to8_46,10.0,1
1,336.00,9_52to9_51,8.666666666666666,3
1,336.00,8_47to8_48,10.0,2
1,336.00,9_43to9_42,15.216,5
1,336.00,8_46to8_47,10.0,2
1,336.00,9_46to9_45,6.5,2
1,336.00,9_40to8_40,0.0,4
1,336.00,9_42to8_42,0.0,6
1,336.00,9_50to9_49,10.0,1
1,336.00,8_50to7_50,25.0,1
1,336.00,8_53to8_54,10.0,2
1,336.00,9_50to8_50,0.0,9
1,336.00,7_40to6_40,3.75,1
1,336.00,8_43to8_44,14.853333333333333,3
1,336.00,8_44to8_45,10.0,2
1,336.00,8_41to8_42,17.5,2
1,336.00,9_45to9_44,19.55,3
1,336.00,7_50to6_50,25.0,1
1,336.00,9_48to9_47,14.475,2
1,336.00,9_35to9_34,0.0,1
1,336.00,8_55to8_56,10.166666666666666,3
1,336.00,8_57to8_58,10.0,1
1,336.00,9_41to9_40,10.0,1
1,336.00,8_51to8_52,10.0,2
1,336.00,7_46to6_46,2.5,4
1,336.00,9_54to9_53,8.0,2
1,336.00,5_42toMadison_42,6.5,1
1,336.00,8_54to7_54,10.0,1
1,336.00,8_38to8_39,10.0,1
1,336.00,9_51to9_50,10.0,2
1,336.00,8_40to8_41,17.5,2
1,336.00,6_44to5_44,7.0,1
1,336.00,7_54to6_54,23.41,1
1,336.00,8_54to8_55,10.0,1
1,336.00,9_39to9_38,10.0,4
1,336.00,8_42to7_42,6.22,1
1,336.00,9_46to8_46,0.0,4
1,336.00,8_46to7_46,7.17,1
1,336.00,9_48to8_48,0.0,4
1,336.00,9_44to8_44,1.4877777777777779,9
1,336.00,7_38to6_38,0.0,1
1,336.00,8_39to8_40,10.0,1
1,336.00,7_44to6_44,10.0,1
1,336.00,9_34to9_33,5.0,2
1,336.00,Park_36toLexington_36,10.0,1
1,336.00,8_58to7_58,2.6625,16
1,336.00,8_52to8_53,10.0,1
1,336.00,7_42to6_42,0.0,2
1,336.00,9_49to9_48,14.846666666666666,3
1,336.00,8_50to8_51,10.3625,4
1,336.00,9_36to9_35,10.0,2
1,336.00,8_40to7_40,10.0,1
1,336.00,9_42to9_41,12.839999999999998,3
1,336.00,8_49to8_50,10.0,2
1,337.00,8_39to8_40,10.0,1
1,337.00,9_44to8_44,1.2377777777777779,9
1,337.00,9_48to8_48,0.0,4
1,337.00,8_50to7_50,25.0,1
1,337.00,8_30to7_30,11.51,4
1,337.00,9_51to9_50,10.0,2
1,337.00,7_40to6_40,0.75,1
1,337.00,8_48to8_49,18.504,5
1,337.00,7_42to6_42,0.0,2
1,337.00,9_43to9_42,15.110000000000001,6
1,337.00,8_54to7_54,10.0,1
1,337.00,8_55to8_56,10.113333333333333,3
1,337.00,9_36to9_35,10.0,2
1,337.00,9_47to9_46,23.765,2
1,337.00,9_45to9_44,17.5,2
1,337.00,9_35to9_34,0.0,1
1,337.00,9_44to9_43,12.006666666666666,3
1,337.00,7_54to6_54,18.985,2
1,337.00,7_46to6_46,2.5,4
1,337.00,9_52to9_51,9.25,4
1,337.00,9_52to8_52,6.724285714285714,7
1,337.00,9_40to9_39,5.0,2
1,337.00,6_40to5_40,6.0,1
1,337.00,8_49to8_50,14.405,2
1,337.00,7_50to6_50,25.0,1
1,337.00,7_38to6_38,0.0,1
1,337.00,9_48to9_47,18.95,1
1,337.00,9_46to9_45,7.0,2
1,337.00,8_42to8_43,15.0,3
1,337.00,9_41to9_40,10.0,1
1,337.00,8_40to8_41,15.0,3
1,337.00,8_51to8_52,9.16,2
1,337.00,8_38to8_39,10.0,1
1,337.00,9_34to9_33,5.0,2
1,337.00,8_45to8_46,10.0,2
1,337.00,8_50to8_51,10.2425,4
1,337.00,6_44to5_44,8.0,1
1,337.00,7_57to6_57,16.48,1
1,337.00,8_44to8_45,10.0,3
1,337.00,9_42to8_42,0.0,6
