date,time,edge,avg_speed,num_vehicles
1,388.00,8_50to8_51,14.75,3
1,388.00,7_48to6_48,2.5,1
1,388.00,9_50to8_50,0.0,8
1,388.00,9_49to9_48,15.0,3
1,388.00,9_51to9_50,17.5,2
1,388.00,8_50to7_50,5.39,1
1,388.00,8_51to8_52,10.0,1
1,388.00,8_55to8_56,9.705,2
1,388.00,9_33to9_32,10.0,2
1,388.00,8_46to8_47,10.0,1
1,388.00,8_48to7_48,10.0,1
1,388.00,8_53to8_54,10.04,4
1,388.00,7_46to6_46,0.0,6
1,388.00,8_45to8_46,12.780000000000001,3
1,388.00,9_35to9_34,0.0,1
1,388.00,7_50to6_50,4.855,4
1,388.00,9_48to9_47,11.567499999999999,4
1,388.00,9_54to8_54,7.31,3
1,388.00,7_32to6_32,0.0,1
1,388.00,9_37to9_36,9.722,5
1,388.00,8_48to8_49,14.469999999999999,3
1,388.00,7_40to6_40,0.0,1
1,388.00,9_34to9_33,1.52,2
1,388.00,9_36to9_35,6.29,2
1,388.00,8_47to8_48,10.0,2
1,388.00,8_49to8_50,14.866666666666667,3
1,388.00,8_58to7_58,0.3145,20
1,388.00,9_54to9_53,5.0,1
1,388.00,9_52to8_52,0.125,8
1,388.00,9_48to8_48,0.0,1
1,388.00,9_38to9_37,7.625714285714286,7
1,388.00,8_52to8_53,17.5,2
1,388.00,6_48to5_48,9.0,1
1,388.00,9_43to9_42,10.26,2
1,388.00,9_55to9_54,17.5,2
1,388.00,Madison_30toPark_30,10.0,1
1,388.00,9_52to9_51,10.0,2
1,388.00,5_30toMadison_30,10.27,2
1,388.00,9_56to9_55,7.5,2
1,388.00,9_44to9_43,11.942499999999999,4
1,388.00,Madison_42toPark_42,8.27,1
1,388.00,9_32to8_32,10.0,1
1,388.00,7_44to6_44,7.293333333333334,3
1,388.00,9_45to9_44,13.083333333333334,3
1,388.00,7_52to6_52,0.0,2
1,388.00,9_50to9_49,11.663333333333332,3
1,388.00,9_41to9_40,3.3333333333333335,3
1,388.00,9_42to9_41,18.656666666666666,3
1,388.00,9_40to9_39,10.0,1
1,388.00,8_56to8_57,12.18,3
1,388.00,9_31to9_30,10.0,1
