date,time,edge,avg_speed,num_vehicles
1,355.00,8_48to8_49,10.0,2
1,355.00,7_30to6_30,10.0,3
1,355.00,7_46to6_46,0.0,4
1,355.00,9_34to9_33,9.0,3
1,355.00,7_40to6_40,5.0,2
1,355.00,8_30to7_30,5.59,1
1,355.00,9_40to9_39,5.0,2
1,355.00,8_52to7_52,15.585,2
1,355.00,9_50to9_49,17.5,2
1,355.00,9_38to9_37,8.623333333333333,3
1,355.00,9_43to9_42,13.747499999999999,4
1,355.00,9_47to9_46,10.0,2
1,355.00,9_36to9_35,14.375,2
1,355.00,8_52to8_53,10.5075,4
1,355.00,8_58to7_58,0.0,16
1,355.00,7_48to6_48,0.0,2
1,355.00,8_55to8_56,10.0,1
1,355.00,9_52to8_52,0.9555555555555555,9
1,355.00,7_42to6_42,0.0,3
1,355.00,8_57to8_58,10.0,2
1,355.00,8_50to8_51,10.0,2
1,355.00,9_39to9_38,15.81,2
1,355.00,9_41to9_40,12.515,4
1,355.00,7_50to6_50,0.0,2
1,355.00,8_43to8_44,10.0,2
1,355.00,8_45to8_46,10.616,5
1,355.00,9_54to9_53,7.5,2
1,355.00,9_53to9_52,17.5,2
1,355.00,9_46to8_46,0.0,2
1,355.00,8_57to7_57,22.67,1
1,355.00,6_30to5_30,15.48,1
1,355.00,5_44toMadison_44,8.21,1
1,355.00,9_51to9_50,25.0,1
1,355.00,9_54to8_54,19.927500000000002,4
1,355.00,8_49to8_50,15.0,3
1,355.00,9_48to9_47,12.736666666666666,3
1,355.00,8_44to7_44,10.0,1
1,355.00,8_50to7_50,9.135,2
1,355.00,8_47to8_48,15.0,3
1,355.00,7_54to6_54,10.0,1
1,355.00,9_35to9_34,7.8125,4
1,355.00,7_44to6_44,5.0,2
1,355.00,8_48to7_48,10.0,1
1,355.00,8_42to8_43,10.0,1
1,355.00,8_40to8_41,8.5,2
1,355.00,9_42to9_41,6.71,4
1,355.00,8_46to8_47,15.0,3
1,355.00,8_54to8_55,10.0,1
1,355.00,8_44to8_45,14.5,2
1,355.00,9_44to8_44,0.35714285714285715,7
1,355.00,9_48to8_48,0.0,2
1,355.00,5_40toMadison_40,10.0,1
1,355.00,8_53to8_54,10.0,2
1,355.00,9_42to8_42,0.0,4
1,355.00,5_38toMadison_38,16.5,1
1,355.00,8_56to8_57,10.0,1
1,355.00,9_50to8_50,1.6575,8
1,355.00,8_51to8_52,8.006000000000002,5
1,355.00,9_49to9_48,17.5,2
1,355.00,9_44to9_43,17.27,2
1,355.00,8_32to7_32,11.18,1
1,355.00,9_45to9_44,12.983333333333334,3
1,355.00,9_37to9_36,6.666666666666667,3
1,355.00,8_41to8_42,10.0,3
1,355.00,9_52to9_51,5.0,1
1,355.00,5_36toMadison_36,10.0,1
1,355.00,9_46to9_45,12.333333333333334,3
1,356.00,9_50to8_50,1.38375,8
1,356.00,7_42to6_42,0.0,3
1,356.00,8_58to7_58,0.0,16
1,356.00,9_35to9_34,6.8125,4
1,356.00,9_47to9_46,10.0,2
1,356.00,7_50to6_50,0.0,2
1,356.00,8_45to8_46,10.51,4
1,356.00,8_55to8_56,10.0,2
1,356.00,8_48to7_48,10.0,1
1,356.00,8_43to8_44,10.0,2
1,356.00,8_50to8_51,10.0,2
1,356.00,8_54to8_55,10.0,1
1,356.00,9_50to9_49,17.5,2
1,356.00,8_47to8_48,15.0,3
1,356.00,8_57to8_58,10.0,2
1,356.00,7_54to6_54,10.0,1
1,356.00,8_41to8_42,10.0,2
1,356.00,9_54to8_54,18.677500000000002,4
1,356.00,8_49to8_50,15.0,3
1,356.00,5_36toMadison_36,10.0,1
1,356.00,5_40toMadison_40,10.0,1
1,356.00,9_44to8_44,0.0,7
1,356.00,8_57to7_57,22.67,1
1,356.00,9_45to9_44,17.5,2
1,356.00,9_49to9_48,17.5,4
1,356.00,9_36to9_35,11.875,2
1,356.00,9_52to8_52,0.6222222222222222,9
1,356.00,9_34to9_33,7.333333333333333,3
1,356.00,9_54to9_53,7.0,3
1,356.00,9_53to9_52,10.0,2
1,356.00,7_48to6_48,0.0,2
1,356.00,9_42to8_42,0.0,4
1,356.00,5_38toMadison_38,11.5,1
1,356.00,7_46to6_46,1.842,5
1,356.00,7_44to6_44,5.0,2
1,356.00,9_48to8_48,0.0,2
1,356.00,8_40to8_41,7.453333333333333,3
1,356.00,9_44to9_43,17.27,2
1,356.00,8_53to8_54,10.0,1
1,356.00,9_38to9_37,6.956666666666666,3
1,356.00,8_44to7_44,10.0,1
1,356.00,7_40to6_40,5.0,2
1,356.00,9_39to9_38,15.89,2
1,356.00,9_46to9_45,4.333333333333333,3
1,356.00,8_52to8_53,10.3375,4
1,356.00,9_43to9_42,14.37,3
1,356.00,9_48to9_47,16.25,4
1,356.00,8_32to7_32,6.18,1
1,356.00,5_44toMadison_44,5.21,1
1,356.00,9_46to8_46,0.0,2
1,356.00,9_40to9_39,13.209999999999999,3
1,356.00,8_44to8_45,13.333333333333334,3
1,356.00,7_30to6_30,10.0,3
1,356.00,8_56to8_57,10.0,1
1,356.00,8_50to7_50,9.635,2
1,356.00,8_46to8_47,15.0,3
1,356.00,8_48to8_49,10.0,2
1,356.00,9_52to9_51,6.0,1
1,356.00,8_42to8_43,10.0,1
1,356.00,9_51to9_50,25.0,1
1,356.00,8_52to7_52,17.5,2
1,356.00,6_30to5_30,13.11,1
1,356.00,8_51to8_52,9.39,5
1,356.00,9_37to9_36,6.666666666666667,3
1,356.00,9_41to9_40,15.1875,4
1,356.00,9_42to9_41,5.46,4
1,357.00,8_40to8_41,9.453333333333333,3
1,357.00,7_54to6_54,10.0,1
1,357.00,8_47to8_48,13.75,4
1,357.00,9_34to9_33,9.0,3
1,357.00,9_50to8_50,1.0474999999999999,8
1,357.00,7_50to6_50,0.0,2
1,357.00,9_48to9_47,18.36,5
1,357.00,8_43to8_44,10.0,2
1,357.00,8_55to8_56,10.0,2
1,357.00,9_47to9_46,10.0,2
1,357.00,8_42to8_43,10.0,2
