route_id	edges
route19	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to7_54 7_54to6_54 6_54to5_54 5_54toMadison_54 Madison_54toPark_54 Park_54toLexington_54
route20	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to7_56 7_56to6_56 6_56to5_56 5_56toMadison_56 Madison_56toPark_56 Park_56toLexington_56
route21	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to7_57 7_57to6_57 6_57to5_57 5_57toMadison_57 Madison_57toPark_57 Park_57toLexington_57
route22	9_30to8_30 8_30to8_31 8_31to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58 6_58to5_58 5_58toMadison_58 Madison_58toPark_58 Park_58toLexington_58
route23	9_32to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58
route24	9_32to9_31 9_31to9_30 9_30to8_30 8_30to7_30
route25	9_32to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58
route26	9_32to9_31 9_31to9_30 9_30to8_30 8_30to7_30 7_30to6_30 6_30to5_30
route27	9_32to8_32 8_32to8_33 8_33to8_34 8_34to8_35 8_35to8_36 8_36to8_37 8_37to8_38 8_38to8_39 8_39to8_40 8_40to8_41 8_41to8_42 8_42to8_43 8_43to8_44 8_44to8_45 8_45to8_46 8_46to8_47 8_47to8_48 8_48to8_49 8_49to8_50 8_50to8_51 8_51to8_52 8_52to8_53 8_53to8_54 8_54to8_55 8_55to8_56 8_56to8_57 8_57to8_58 8_58to7_58 7_58to6_58 6_58to5_58 5_58toMadison_58
route28	9_32to9_31 9_31to9_30 9_30to8_30 8_30to7_30 7_30to6_30 6_30to5_30 5_30toMadison_30 Madison_30toPark_30
